num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H0,3,sepmodel,0.0277
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,2,fixmodel,0.0273
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,2,fixmodel_cal,0.0272
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,2,mixmodel,0.0281
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,2,mixmodel_cal,0.0271
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,2,sepmodel,0.0272
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,3,fixmodel,0.0257
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,3,fixmodel_cal,0.0257
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,3,mixmodel,0.0239
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,3,mixmodel_cal,0.0234
3,3000,0,3000,7500,2,0,1,0.075,0,0,0,0,0,0,stepwise,0.025,EQ,H0,3,sepmodel,0.025
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H0,2,fixmodel,0.0258
3,3000,0,3000,7500,2,0,1,0.075,0,0,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H0,2,fixmodel_cal,0.0259
